fid;code_station;Nom;X;Y;code_insee
133;E183041001;L'ESCAUT A CONDE-SUR-L'ESCAUT;3.591187725;50.446423302;59
312;E540031001;LA CANCHE A BRIMEUX;1.83154472;50.448329414;62
347;E550572001;L'AUTHIE A DOMPIERRE-SUR-AUTHIE;1.918455968;50.30508344;80
361;E182601001;LA HAYNE A SAINT-AYBERT;3.649239149;50.4502707;59
370;E171551001;LE VIEIL ESCAUT A HORDAIN;3.312484362;50.267211965;59
413;G017042101;LA BRESLE A LONGROY;1.536725086;49.991719178;80
428;E640601001;L'AVRE A MOREUIL;2.485723415;49.768899144;80
458;E642601001;LA SELLE A PLACHY-BUYON;2.215278415;49.815620271;80
527;H702101001;L'OISE A HIRSON;4.07854491;49.924453262;2
528;H704101001;L'OISE A MONCEAU-SUR-OISE;3.699540257;49.898749587;2
529;H703301001;LE THON A ORIGNY-EN-THIERACHE;4.015003978;49.895709448;2
530;H706101001;L'OISE A ORIGNY-SAINTE-BENOITE;3.482753388;49.839919429;2
531;H716201001;LA SERRE A PONT A BUCY;3.484983594;49.692619892;2
532;H714201001;LA SERRE A MORTIERS;3.667517334;49.684465774;2
533;H720101001;L'OISE A CONDREN;3.285812129;49.627877711;2
534;H740101001;L'OISE A SEMPIGNY;2.994591739;49.559753472;60
537;H732201001;L'AILETTE A CHAILLEVOIS;3.524801812;49.500017858;2
540;H774201001;LE THERAIN A BEAUVAIS;2.085386074;49.425649134;60
541;H168000303;L'AISNE A TROSLY-BREUIL [HERANT];2.952758878;49.410865976;60
542;H632102001;L'AISNE A PONTAVERT;3.821300604;49.403305621;2
543;H631302001;LA SUIPPE A ORAINVILLE;4.024411071;49.383560171;2
545;H643201001;LA VESLE A BRAINE;3.526542766;49.337393085;2
547;H312042010;L'EPTE A ERAGNY-SUR-EPTE;1.7698027;49.322158516;60
548;H208000101;L'OISE A PONT-SAINTE-MAXENCE [SARRON];2.627912992;49.310542875;60
551;H751301001;L'AUTOMNE A SAINTINES;2.775659248;49.307429467;60
553;H760201001;LA BRECHE A NOGENT-SUR-OISE;2.462361342;49.287498962;60
554;H774202001;LE THERAIN A MAYSEL;2.378567036;49.262401349;60
561;H208000104;L'OISE A CREIL;2.462283316;49.25515771;60
563;H552201001;L'OURCQ A CHOUY;3.25040895;49.194249596;2
569;H530202001;LE SURMELIN A MEZY-MOULINS;3.517418592;49.059820596;2
570;F619000101;LE SURMELIN A SAINT-EUGENE;3.53166816;49.02552632;2
